,text,pre,truth
0,《骑士之爱与游吟诗人》是上海社会科学院出版社2012年出版的图书，作者是英国的 菲奥娜·斯沃比,"[('骑 士 之 爱 与 游 吟 诗 人', '菲 奥 娜 · 斯 沃 比', 11), ('骑 士 之 爱 与 游 吟 诗 人', '上 海 社 会 科 学 院 出 版 社', 12)]","[('骑 士 之 爱 与 游 吟 诗 人', '菲 奥 娜 · 斯 沃 比', 11), ('骑 士 之 爱 与 游 吟 诗 人', '上 海 社 会 科 学 院 出 版 社', 12)]"
1,史岳，中国新锐摄影师，以拍摄写意风格的电影著称，毕业于北京电影学院摄影系，曾拍摄近百部电影、电视剧、广告作品,"[('史 岳', '北 京 电 影 学 院', 5), ('史 岳', '中 国', 1)]","[('史 岳', '北 京 电 影 学 院', 5), ('史 岳', '中 国', 1)]"
2,刘冬元，(1953－1992)中共党员，祁阳县凤凰乡凤凰村人，1953年11月出生，1969年参加工作，先后任凤凰公社话务员、广播员，上司源乡中学副校长，白果市乡中学校长、辅导区主任、金洞学区业务专干、百里乡人民政府纪检员,"[('刘 冬 元', '祁 阳 县 凤 凰 乡 凤 凰 村', 2), ('刘 冬 元', '1953 年 11 月', 4)]","[('刘 冬 元', '祁 阳 县 凤 凰 乡 凤 凰 村', 2), ('刘 冬 元', '1953 年 11 月', 4)]"
3,《现代性中国》是2005年5月由河南大学出版社出版的图书，作者是张颐武,"[('现 代 性 中 国', '河 南 大 学 出 版 社', 12)]","[('现 代 性 中 国', '张 颐 武', 11), ('现 代 性 中 国', '河 南 大 学 出 版 社', 12)]"
4,《刘向评传》出版于2005年，是由南京大学出版社出版的一本传主为刘向的传记，作者是南京大学文学院院长徐兴无教授，该书同时也是南京大学出版社出版的中国思想家评传丛书中的一本,"[('刘 向 评 传', '南 京 大 学 出 版 社', 12)]","[('刘 向 评 传', '南 京 大 学 出 版 社', 12), ('刘 向 评 传', '徐 兴 无', 11)]"
5,《高中生必背古文》是2002年湖南师范大学出版社出版的图书，作者是周红,"[('高 中 生 必 背 古 文', '周 红', 11), ('高 中 生 必 背 古 文', '湖 南 师 范 大 学 出 版 社', 12)]","[('高 中 生 必 背 古 文', '周 红', 11), ('高 中 生 必 背 古 文', '湖 南 师 范 大 学 出 版 社', 12)]"
6,《防守孤单》是歌手孙楠的一首歌曲，收录于《燃烧》专辑中,"[('防 守 孤 单', '燃 烧', 7), ('防 守 孤 单', '孙 楠', 6)]","[('防 守 孤 单', '燃 烧', 7), ('防 守 孤 单', '孙 楠', 6)]"
7,2008年，卢星宇与周海媚主演警匪题材电视剧《生死对峙》，剧中饰演为达目的不惜一切代价的大毒枭肖雄17,"[('生 死 对 峙', '周 海 媚', 13), ('生 死 对 峙', '卢 星 宇', 13)]","[('生 死 对 峙', '周 海 媚', 13), ('生 死 对 峙', '卢 星 宇', 13)]"
8,《亲爱的路人》是由湖南文艺出版社在2017年3月出版的一本书，作者是梅子黄时雨,"[('亲 爱 的 路 人', '梅 子 黄 时 雨', 11), ('亲 爱 的 路 人', '湖 南 文 艺 出 版 社', 12)]","[('亲 爱 的 路 人', '梅 子 黄 时 雨', 11), ('亲 爱 的 路 人', '湖 南 文 艺 出 版 社', 12)]"
9,资料烛光舞  所属专辑：全新接触  作词：向雪怀  演唱：叶振棠1歌词遥远歌声将温情倾诉，遥望晚星急赶来照路，人生旅途虽不知道，爱是时刻不停鼓舞,"[('烛 光 舞', '叶 振 棠', 6), ('烛 光 舞', '向 雪 怀', 8), ('烛 光 舞', '全 新 接 触', 7)]","[('烛 光 舞', '叶 振 棠', 6), ('烛 光 舞', '全 新 接 触', 7)]"
10,《我与我自己的二三事》是2006年在唐山出版社出版的书籍，作者是英培安,"[('我 与 我 自 己 的 二 三 事', '英 培 安', 11), ('我 与 我 自 己 的 二 三 事', '唐 山 出 版 社', 12)]","[('我 与 我 自 己 的 二 三 事', '英 培 安', 11), ('我 与 我 自 己 的 二 三 事', '唐 山 出 版 社', 12)]"
11,《预谋结婚》是百度文学旗下纵横中文网签约作家曲小涵创作的一部都市生活小说，小说已于2014-03-05正式发布,"[('预 谋 结 婚', '纵 横 中 文 网', 10), ('预 谋 结 婚', '曲 小 涵', 11)]","[('预 谋 结 婚', '纵 横 中 文 网', 10), ('预 谋 结 婚', '曲 小 涵', 11)]"
12,《凌九霄》是一本小说，作者为你变成风，在起点中文网连载,"[('凌 九 霄', '起 点 中 文 网', 10)]","[('凌 九 霄', '起 点 中 文 网', 10), ('凌 九 霄', '为 你 变 成 风', 11)]"
13,倪金德，1916年生，奉天省营口（今辽宁省营口市）人,"[('倪 金 德', '奉 天 省 营 口', 2), ('倪 金 德', '1916 年', 4)]","[('倪 金 德', '奉 天 省 营 口', 2), ('倪 金 德', '1916 年', 4)]"
14,《夙城》是连载于起点中文网的小说，作者是神寂灭,"[('夙 城', '起 点 中 文 网', 10)]","[('夙 城', '起 点 中 文 网', 10), ('夙 城', '神 寂 灭', 11)]"
15,《现代质量成本管理》是2006年8月1日中国计量出版社出版的图书，作者是杨文培,"[('现 代 质 量 成 本 管 理', '杨 文 培', 11), ('现 代 质 量 成 本 管 理', '中 国 计 量 出 版 社', 12)]","[('现 代 质 量 成 本 管 理', '中 国 计 量', 12), ('现 代 质 量 成 本 管 理', '杨 文 培', 11)]"
16,张超是当今时代传唱率最高的词曲作者，尤其是《最炫民族风》的普及度仅次于国歌13，被媒体誉为“金曲狂人”，网民则惊叹为“神曲教父”,"[('最 炫 民 族 风', '张 超', 9)]","[('最 炫 民 族 风', '张 超', 8), ('最 炫 民 族 风', '张 超', 9)]"
17,甄妮--情感高烧专辑名称:至爱2000精选,"[('情 感 高 烧', '甄 妮', 6), ('情 感 高 烧', '至 爱 2000', 7)]","[('情 感 高 烧', '甄 妮', 6), ('情 感 高 烧', '至 爱 2000 精 选', 7)]"
18,胡文仲，1935 年生于天津，祖籍江苏,"[('胡 文 仲', '1935 年', 4), ('胡 文 仲', '天 津', 2)]","[('胡 文 仲', '1935 年', 4), ('胡 文 仲', '天 津', 2)]"
19,《六道之麒麟墓》是连载于起点中文网的网络小说，作者是深山道人,"[('六 道 之 麒 麟 墓', '深 山 道 人', 11), ('六 道 之 麒 麟 墓', '起 点 中 文 网', 10)]","[('六 道 之 麒 麟 墓', '深 山 道 人', 11), ('六 道 之 麒 麟 墓', '起 点 中 文 网', 10)]"
20,个人履历江泽慧1960年6月毕业于安徽农学院林学系，1962年加入中国共产党,"[('江 泽 慧', '中 国', 1), ('江 泽 慧', '安 徽 农 学 院', 5)]","[('江 泽 慧', '安 徽 农 学 院 林 学 系', 5), ('江 泽 慧', '安 徽 农 学 院', 5)]"
21,《巴比伦与亚述文明》于殿利编著，该书由北京师范大学出版社于2013年出版,"[('巴 比 伦 与 亚 述 文 明', '北 京 师 范 大 学 出 版 社', 12)]","[('巴 比 伦 与 亚 述 文 明', '于 殿 利', 11), ('巴 比 伦 与 亚 述 文 明', '北 京 师 范 大 学 出 版 社', 12)]"
22,《意乱情迷》是刘德华的歌曲，收录在专辑《真生命》当中,"[('意 乱 情 迷', '真 生 命', 7), ('意 乱 情 迷', '刘 德 华', 6)]","[('意 乱 情 迷', '真 生 命', 7), ('意 乱 情 迷', '刘 德 华', 6)]"
23,《请你不要伤害我》是一首歌的歌名，演唱歌手为安东，隶属于安东单曲集,"[('请 你 不 要 伤 害 我', '安 东 单 曲 集', 7)]","[('请 你 不 要 伤 害 我', '安 东', 6), ('请 你 不 要 伤 害 我', '安 东 单 曲 集', 7)]"
24,綦军，男，汉族，1958年2月出生，中共党员，大学本科,"[('綦 军', '汉 族', 3), ('綦 军', '1958 年 2 月', 4)]","[('綦 军', '汉 族', 3), ('綦 军', '1958 年 2 月', 4)]"
25,《重生之神级败家子》1辰机唐红豆所著都市异能小说，首发起点中文网，现在中国移动和阅读登载,"[('重 生 之 神 级 败 家 子', '起 点 中 文 网', 10)]","[('重 生 之 神 级 败 家 子', '起 点 中 文 网', 10), ('重 生 之 神 级 败 家 子', '辰 机 唐 红 豆', 11)]"
26,曹睿是曹丕的儿子，那会儿袁熙早就死了曹魏烈祖明皇帝曹叡（204年－239年1月22日），字元仲，史称魏明帝，中国三国时期曹魏的第二位皇帝，从小得到祖父曹操的喜爱,"[('曹 睿', '中 国', 1)]","[('曹 操', '中 国', 1), ('曹 丕', '中 国', 1)]"
27,《定位寻宝系统》是起点中文网作家沐雪沉风所著的仙侠网络小说,"[('定 位 寻 宝 系 统', '起 点 中 文 网', 10), ('定 位 寻 宝 系 统', '沐 雪 沉 风', 11)]","[('定 位 寻 宝 系 统', '起 点 中 文 网', 10), ('定 位 寻 宝 系 统', '沐 雪 沉 风', 11)]"
28,《情若无花不结果》是张德兰的音乐作品，收录在《长青树2》专辑中,"[('情 若 无 花 不 结 果', '长 青 树 2', 7)]","[('情 若 无 花 不 结 果', '张 德 兰', 6), ('情 若 无 花 不 结 果', '长 青 树 2', 7)]"
29,张宏宾艺术简历，1960年毕业于中央美术学院附中，1965年毕业于中央工艺美术学院壁画专业，是新中国培养的第一代壁画专业工作者,"[('张 宏 宾', '中 央 美 术 学 院', 5)]","[('张 宏 宾', '中 央 美 术 学 院', 5), ('张 宏 宾', '中 国', 1)]"
30,《现代黑白摄影/现代摄影人丛书》是2000年中国工人出版社出版的图书，作者是杨晓利,"[('现 代 黑 白 摄 影 / 现 代 摄 影 人 丛 书', '杨 晓 利', 11), ('现 代 黑 白 摄 影 / 现 代 摄 影 人 丛 书', '中 国 工 人 出 版 社', 12)]","[('现 代 黑 白 摄 影 / 现 代 摄 影 人 丛 书', '杨 晓 利', 11), ('现 代 黑 白 摄 影 / 现 代 摄 影 人 丛 书', '中 国 工 人 出 版 社', 12)]"
31,刘忻在录制《两道彩虹》时，由于是自己作曲的歌曲，所以录制过程比较顺利，唱了两遍就完全进入状态3,"[('两 道 彩 虹', '刘 忻', 6), ('两 道 彩 虹', '刘 忻', 9)]","[('两 道 彩 虹', '刘 忻', 6), ('两 道 彩 虹', '刘 忻', 9)]"
32,《世界文坛百年回望》是2007年浙江大学出版社出版的图书，作者是毛信德,"[('世 界 文 坛 百 年 回 望', '浙 江 大 学 出 版 社', 12), ('世 界 文 坛 百 年 回 望', '毛 信 德', 11)]","[('世 界 文 坛 百 年 回 望', '毛 信 德', 11), ('世 界 文 坛 百 年 回 望', '浙 江 大 学', 12)]"
33,2010年，孙俪出演刘镇伟执导的的爱情喜剧《越光宝盒》，饰演为求真爱紧追不舍的玫瑰仙子33,"[('越 光 宝 盒', '刘 镇 伟', 14), ('越 光 宝 盒', '孙 俪', 13)]","[('越 光 宝 盒', '刘 镇 伟', 14), ('越 光 宝 盒', '孙 俪', 13)]"
34,《法语300句》是2006年上海外教出版社出版的图书，作者是陈伟,"[('法 语 300 句', '上 海 外 教 出 版 社', 12)]","[('法 语 300 句', '陈 伟', 11), ('法 语 300 句', '上 海 外 教', 12)]"
35,"来建础，女,汉族,1953年9月生,中共党员，华东师范大学宗教文化研究中心副秘书长","[('来 建 础', '汉 族', 3)]","[('来 建 础', '1953 年 9 月', 4), ('来 建 础', '汉 族', 3)]"
36,《学用中医体会录》是2010年人民卫生出版社出版的图书，作者是魏子孝,"[('学 用 中 医 体 会 录', '人 民 卫 生 出 版 社', 12)]","[('学 用 中 医 体 会 录', '人 民 卫 生', 12), ('学 用 中 医 体 会 录', '魏 子 孝', 11)]"
37,王丽萍，1976年7月出生于辽宁凤城，田径运动员，奥运冠军,"[('王 丽 萍', '1976 年 7 月', 4), ('王 丽 萍', '辽 宁 凤 城', 2)]","[('王 丽 萍', '1976 年 7 月', 4), ('王 丽 萍', '辽 宁 凤 城', 2)]"
38,《挡不住的奇迹》是由汤姆·汉克斯执导的喜剧片，汤姆汉克斯、汤姆·艾弗列特·斯科特等主演,"[('挡 不 住 的 奇 迹', '汤 姆 · 汉 克 斯', 14)]","[('挡 不 住 的 奇 迹', '汤 姆 汉 克 斯', 13), ('挡 不 住 的 奇 迹', '汤 姆 · 汉 克 斯', 14)]"
39,《天堂——望》是连载于晋江文学城的小说，作者是伊若晴雪,"[('天 堂 [UNK] [UNK] 望', '晋 江 文 学 城', 10), ('天 堂 [UNK] [UNK] 望', '伊 若 晴 雪', 11)]","[('伊 若', '晋 江 文 学 城', 10), ('天 堂 [UNK] [UNK] 望', '伊 若 晴 雪', 11)]"
40,《英语名词的表达与理解》是2007年9月华中科技大出版社出版的图书，作者是孙勉志,"[('英 语 名 词 的 表 达 与 理 解', '华 中 科 技 大', 12), ('英 语 名 词 的 表 达 与 理 解', '孙 勉 志', 11)]","[('英 语 名 词 的 表 达 与 理 解', '华 中 科 技 大', 12), ('英 语 名 词 的 表 达 与 理 解', '孙 勉 志', 11)]"
41,《礼记开讲》是华东师范大学出版社2013年出版的图书，由刘松来编著,"[('礼 记 开 讲', '华 东 师 范 大 学 出 版 社', 12)]","[('礼 记 开 讲', '华 东 师 范 大 学 出 版 社', 12), ('礼 记 开 讲', '刘 松 来', 11)]"
42,《不了了之》是一首陈洁仪演唱的歌曲，该首歌曲发行于2010年01月01日，出自于其专辑《奢望幸福》,"[('不 了 了 之', '奢 望 幸 福', 7)]","[('不 了 了 之', '奢 望 幸 福', 7), ('不 了 了 之', '陈 洁 仪', 6)]"
43,这部电影还有一点给我留下了深刻的映象，就是影片的片头曲和片尾曲，由曾经的香港“歌神”许冠杰演唱的《半斤八两》和《浪子心声》，没听过这两首歌的强烈建议去听听，你会有很多感触，你会有很多共鸣,"[('半 斤 八 两', '许 冠 杰', 6), ('浪 子 心 声', '许 冠 杰', 6)]","[('半 斤 八 两', '许 冠 杰', 6), ('浪 子 心 声', '许 冠 杰', 6)]"
